postcode,suburb,lat,lon,Local Government Area,Region,Year,A20,A50,A70,A80,A90,B10,B20,B30,B40,B50,B60,C10,C20,C30,C90,D10,D20,D30,D40,E10,E20,F10,F20,F30,F90,A,B,C,D,E,F,Total
3084,eaglemont,-37.762519,145.068208,Banyule,Eastern Metropolitan,2015,10,0,7,0,0,2,10,27,54,1,0,0,0,4,0,1,0,1,0,0,6,0,1,0,0,17,94,4,2,6,1,124
3084,heidelberg,-37.756341,145.06714499999998,Banyule,Eastern Metropolitan,2015,96,0,21,4,11,1,46,47,217,54,0,5,1,30,0,28,16,2,0,49,634,0,0,0,1,132,365,36,46,683,1,1263
3084,rosanna,-37.742893,145.065044,Banyule,Eastern Metropolitan,2015,24,1,9,0,5,1,37,51,116,10,0,1,2,6,0,5,1,2,0,1,14,0,0,0,0,39,215,9,8,15,0,286
3084,viewbank,-37.739262,145.096424,Banyule,Eastern Metropolitan,2015,9,0,6,2,4,0,8,23,66,4,0,0,2,4,0,2,1,1,0,0,4,0,0,0,0,21,101,6,4,4,0,136
3085,macleod,-37.726038,145.068457,Banyule,Northern Metropolitan,2015,29,0,9,0,6,1,58,47,98,6,0,2,1,5,0,3,8,9,0,1,24,0,2,0,0,44,210,8,20,25,2,309
3085,yallambie,-37.727482,145.10230900000002,Banyule,Northern Metropolitan,2015,16,1,4,1,3,0,8,12,62,4,0,1,0,1,0,2,1,0,0,0,8,0,0,0,0,25,86,2,3,8,0,124
3087,watsonia,-37.712531,145.082098,Banyule,Northern Metropolitan,2015,33,0,10,2,9,4,43,43,146,11,0,2,1,9,0,5,8,1,0,3,36,0,0,0,1,54,247,12,14,39,1,367
3087,watsonia north,-37.698352,145.084586,Banyule,Northern Metropolitan,2015,3,1,5,0,5,1,8,18,34,1,0,0,0,4,0,4,0,0,0,3,15,0,0,0,0,14,62,4,4,18,0,102
3088,briar hill,-37.709483,145.120135,Banyule,Eastern Metropolitan,2015,13,0,2,1,3,0,7,16,37,3,0,3,0,2,0,3,0,1,0,0,3,0,0,0,0,19,63,5,4,3,0,94
3088,greensborough,-37.704622,145.103024,Banyule,Eastern Metropolitan,2015,90,4,4,12,22,5,106,111,433,76,0,3,1,20,0,13,21,5,0,14,472,0,1,0,3,132,731,24,39,486,4,1416
3089,diamond creek,-37.642629,145.217595,Nillumbik,Northern Victoria,2015,31,2,9,3,8,10,65,55,148,17,0,2,0,16,0,3,6,1,0,7,23,0,0,0,0,53,295,18,10,30,0,406
3090,plenty,-37.671565,145.124024,Nillumbik,Northern Victoria,2015,4,0,1,0,1,4,7,23,45,2,0,1,0,6,0,1,0,1,0,1,8,0,0,0,1,6,81,7,2,9,1,106
3091,yarrambat,-37.639769,145.13266299999998,Nillumbik,Northern Victoria,2015,4,0,0,0,0,1,5,9,11,0,0,0,0,1,0,4,2,1,0,0,2,0,0,0,0,4,26,1,7,2,0,40
3093,lower plenty,-37.730758,145.08811799999998,Banyule,Eastern Metropolitan,2015,12,1,3,2,1,0,12,37,40,5,0,0,0,4,0,4,9,2,0,0,8,0,0,0,1,19,94,4,15,8,1,141
3094,montmorency,-37.715294,145.12158300000002,Banyule,Eastern Metropolitan,2015,15,1,4,1,3,2,22,44,75,2,0,0,0,11,0,1,4,0,0,2,14,0,0,0,0,24,145,11,5,16,0,201
3095,eltham,-37.71383,145.148537,Banyule,Eastern Metropolitan,2015,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
3095,eltham north,-37.69401,145.147506,Banyule,Eastern Metropolitan,2015,4,0,1,0,0,2,6,6,12,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,5,26,2,0,1,0,34
3095,research,-37.703602000000004,145.18063600000002,Banyule,Eastern Metropolitan,2015,1,0,3,0,2,1,5,12,23,3,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,6,44,3,0,4,0,57
3096,wattle glen,-37.670101,145.190928,Nillumbik,Northern Victoria,2015,5,0,0,0,2,2,4,7,24,0,0,1,1,2,0,0,1,0,0,0,3,0,0,0,0,7,37,4,1,3,0,52
3097,bend of islands,-37.697232,145.284134,Nillumbik,Northern Victoria,2015,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,3
3097,kangaroo ground,-37.692032,145.215528,Nillumbik,Northern Victoria,2015,3,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,12,0,0,1,0,16
3097,watsons creek,-37.67058,145.256526,Nillumbik,Northern Victoria,2015,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3
3099,arthurs creek,-37.587697,145.218156,Nillumbik,Northern Victoria,2015,0,0,0,0,0,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8
3099,cottles bridge,-37.625074,145.216671,Nillumbik,Northern Victoria,2015,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,5
3099,hurstbridge,-37.640166,145.192477,Nillumbik,Northern Victoria,2015,2,0,2,1,4,2,24,12,29,0,0,1,0,2,0,3,1,1,0,2,15,0,0,0,0,9,67,3,5,17,0,101
3099,nutfield,-37.610518,145.173559,Nillumbik,Northern Victoria,2015,6,0,1,3,1,1,12,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11,15,0,1,1,0,28
3099,strathewen,-37.53633,145.27345400000002,Nillumbik,Northern Victoria,2015,0,0,0,0,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,6
3101,kew,-37.797982,145.053727,Boroondara,Southern Metropolitan,2015,45,4,11,8,17,2,76,195,485,62,1,6,4,37,0,22,21,3,1,4,41,0,0,0,0,85,821,47,47,45,0,1045
3102,kew east,-37.796246000000004,145.049017,Boroondara,Southern Metropolitan,2015,20,0,2,4,3,1,20,31,56,4,0,1,0,8,0,2,5,0,0,0,10,0,0,0,0,29,112,9,7,10,0,167
3103,balwyn,-37.809701000000004,145.082303,Boroondara,Southern Metropolitan,2015,35,0,4,0,9,0,28,93,116,16,0,1,2,4,0,4,6,2,0,0,15,0,0,0,0,48,253,7,12,15,0,335
3104,balwyn north,-37.792835,145.071727,Boroondara,Southern Metropolitan,2015,20,2,3,5,9,1,46,162,166,5,0,2,3,13,0,5,6,1,0,2,9,0,0,0,0,39,380,18,12,11,0,460
3105,bulleen,-37.768553999999995,145.079543,Manningham,Eastern Metropolitan,2015,30,1,8,4,7,3,31,57,128,13,0,3,2,4,0,6,3,0,0,0,17,0,0,0,0,50,232,9,9,17,0,317
3106,templestowe,-37.768882,145.117873,Manningham,Eastern Metropolitan,2015,23,0,11,3,13,4,61,101,99,16,0,4,3,27,0,6,2,0,0,3,18,0,0,0,0,50,281,34,8,21,0,394
